--------------------------------------------------------------------------------
Bandstructure
HorizontalLine(Fermi Level)
yData = 0.0 eV

VerticalLine(Y segment)
xData = 0.0 

VerticalLine(Gamma segment)
xData = 0.154583512136 

VerticalLine(X segment)
xData = 0.208690831983 

VerticalLine(V segment)
xData = 0.363274344119 

VerticalLine(U segment)
xData = 0.527053659923 

VerticalLine(R segment)
xData = 0.681637172059 

VerticalLine(Z segment)
xData = 0.845416487864 

VerticalLine(T segment)
xData = 0.999999970198 

Line(Band 0)
xData [141]     , yData [141]     
                , Hartree         
 0              , -0.412516385    
 0.007729175607 , -0.4095441138   
 0.01545835121  , -0.4183240745   
 0.02318752682  , -0.4266991742   
 0.03091670243  , -0.4346495367   
 0.03864587803  , -0.442162105    
 0.04637505364  , -0.4492258012   
 0.05410422925  , -0.4558305602   
 0.06183340485  , -0.4619704342   
 0.06956258046  , -0.467635243    
 0.07729175607  , -0.472821682    
 0.08502093167  , -0.4775257143   
 0.09275010728  , -0.4817434969   
 0.1004792829   , -0.48547036     
 0.1082084585   , -0.4887047088   
 0.1159376341   , -0.4914440456   
 0.1236668097   , -0.4936877901   
 0.1313959853   , -0.4954342278   
 0.1391251609   , -0.4966821666   
 0.1468543365   , -0.4974309277   
 0.1545835121   , -0.4976802408   
 0.1572888781   , -0.4977098729   
 0.1599942441   , -0.4977976201   
 0.1626996101   , -0.4979427342   
 0.1654049761   , -0.4981438545   
 0.1681103421   , -0.4983982432   
 0.1708157081   , -0.4987031881   
 0.1735210741   , -0.4990554479   
 0.1762264401   , -0.499451474    
 0.1789318061   , -0.4998872061   
 0.1816371721   , -0.5003589408   
 0.1843425381   , -0.5008616324   
 0.187047904    , -0.5013912128   
 0.18975327     , -0.5019431901   
 0.192458636    , -0.5025130464   
 0.195164002    , -0.5030964537   
 0.197869368    , -0.5036886952   
 0.200574734    , -0.5042861471   
 0.2032801      , -0.5048852837   
 0.205985466    , -0.5054817873   
 0.208690832    , -0.5060722027   
 0.2164200076   , -0.5058160556   
 0.2241491832   , -0.5050488019   
 0.2318783588   , -0.5037700031   
 0.2396075344   , -0.5019810491   
 0.24733671     , -0.4996830578   
 0.2550658856   , -0.4968768226   
 0.2627950612   , -0.4935657517   
 0.2705242368   , -0.4897515152   
 0.2782534124   , -0.4854372273   
 0.2859825881   , -0.4806271283   
 0.2937117637   , -0.4753252388   
 0.3014409393   , -0.469536868    
 0.3091701149   , -0.463269734    
 0.3168992905   , -0.4565323422   
 0.3246284661   , -0.4493344959   
 0.3323576417   , -0.4416915541   
 0.3400868173   , -0.433621423    
 0.3478159929   , -0.4251560227   
 0.3555451685   , -0.4163884636   
 0.3632743441   , -0.4091597393   
 0.3714633099   , -0.4163886966   
 0.3796522757   , -0.4251560872   
 0.3878412415   , -0.4336215459   
 0.3960302073   , -0.4416914122   
 0.4042191731   , -0.4493342857   
 0.4124081389   , -0.4565322799   
 0.4205971047   , -0.4632702928   
 0.4287860704   , -0.4695371963   
 0.4369750362   , -0.4753250282   
 0.445164002    , -0.4806264791   
 0.4533529678   , -0.4854367113   
 0.4615419336   , -0.4897512247   
 0.4697308994   , -0.4935656882   
 0.4779198652   , -0.4968767612   
 0.486108831    , -0.4996822566   
 0.4942977968   , -0.5019808125   
 0.5024867626   , -0.5037697005   
 0.5106757283   , -0.5050486453   
 0.5188646941   , -0.5058162145   
 0.5270536599   , -0.5060722945   
 0.5347828355   , -0.5058161792   
 0.5425120111   , -0.505048598    
 0.5502411867   , -0.5037694988   
 0.5579703624   , -0.5019802473   
 0.565699538    , -0.4996822764   
 0.5734287136   , -0.4968763979   
 0.5811578892   , -0.4935651781   
 0.5888870648   , -0.4897512788   
 0.5966162404   , -0.4854372799   
 0.604345416    , -0.4806264581   
 0.6120745916   , -0.4753240583   
 0.6198037672   , -0.4695366615   
 0.6275329428   , -0.4632707615   
 0.6352621184   , -0.4565333871   
 0.642991294    , -0.449335473    
 0.6507204696   , -0.4416905616   
 0.6584496452   , -0.4336194397   
 0.6661788208   , -0.4251547659   
 0.6739079965   , -0.4163874354   
 0.6816371721   , -0.4091579905   
 0.6898261378   , -0.4159204087   
 0.6980151036   , -0.4241824662   
 0.7062040694   , -0.432128449    
 0.7143930352   , -0.4396654265   
 0.722582001    , -0.4467631489   
 0.7307709668   , -0.4534038513   
 0.7389599326   , -0.4595820146   
 0.7471488984   , -0.4652909117   
 0.7553378642   , -0.4705296096   
 0.76352683     , -0.4752965726   
 0.7717157958   , -0.4795931447   
 0.7799047615   , -0.4834231072   
 0.7880937273   , -0.4867896507   
 0.7962826931   , -0.4896957354   
 0.8044716589   , -0.4921457709   
 0.8126606247   , -0.4941437932   
 0.8208495905   , -0.4956931932   
 0.8290385563   , -0.496798272    
 0.8372275221   , -0.4974597048   
 0.8454164879   , -0.4976798986   
 0.8531456635   , -0.4974304866   
 0.8608748391   , -0.4966816923   
 0.8686040147   , -0.4954335857   
 0.8763331903   , -0.4936873997   
 0.8840623659   , -0.4914430146   
 0.8917915415   , -0.4887032692   
 0.8995207171   , -0.4854694012   
 0.9072498927   , -0.4817424281   
 0.9149790683   , -0.4775256978   
 0.9227082439   , -0.4728211352   
 0.9304374195   , -0.4676339554   
 0.9381665951   , -0.46196957     
 0.9458957708   , -0.4558309043   
 0.9536249464   , -0.4492240935   
 0.961354122    , -0.4421613798   
 0.9690832976   , -0.4346475232   
 0.9768124732   , -0.4266981228   
 0.9845416488   , -0.4183257823   
 0.9922708244   , -0.4095485566   
 1              , -0.4125160193   

Line(Band 2)
xData [141]     , yData [141]     
                , Hartree         
 0              , -0.4003868983   
 0.007729175607 , -0.402920076    
 0.01545835121  , -0.3931191264   
 0.02318752682  , -0.3832401761   
 0.03091670243  , -0.3734985745   
 0.03864587803  , -0.3642240639   
 0.04637505364  , -0.3559816256   
 0.05410422925  , -0.3496006279   
 0.06183340485  , -0.3459044109   
 0.06956258046  , -0.3450315341   
 0.07729175607  , -0.3462579869   
 0.08502093167  , -0.3486482638   
 0.09275010728  , -0.3515217456   
 0.1004792829   , -0.3544672234   
 0.1082084585   , -0.3572514961   
 0.1159376341   , -0.3597376024   
 0.1236668097   , -0.361845118    
 0.1313959853   , -0.3635229404   
 0.1391251609   , -0.3647393776   
 0.1468543365   , -0.3654756359   
 0.1545835121   , -0.3657215864   
 0.1572888781   , -0.3656300876   
 0.1599942441   , -0.365355025    
 0.1626996101   , -0.3648977321   
 0.1654049761   , -0.3642599034   
 0.1681103421   , -0.3634437415   
 0.1708157081   , -0.3624523605   
 0.1735210741   , -0.3612890882   
 0.1762264401   , -0.3599579425   
 0.1789318061   , -0.3584633592   
 0.1816371721   , -0.3568091404   
 0.1843425381   , -0.3550000293   
 0.187047904    , -0.3530413119   
 0.18975327     , -0.3509378942   
 0.192458636    , -0.3486946879   
 0.195164002    , -0.3463162956   
 0.197869368    , -0.3438059005   
 0.200574734    , -0.3411704034   
 0.2032801      , -0.338416516    
 0.205985466    , -0.3355458129   
 0.208690832    , -0.3325624032   
 0.2164200076   , -0.3323590097   
 0.2241491832   , -0.3317583426   
 0.2318783588   , -0.3307763014   
 0.2396075344   , -0.3294537343   
 0.24733671     , -0.3278517956   
 0.2550658856   , -0.3260722509   
 0.2627950612   , -0.3242932496   
 0.2705242368   , -0.3228029862   
 0.2782534124   , -0.3220736311   
 0.2859825881   , -0.3227936995   
 0.2937117637   , -0.3256936224   
 0.3014409393   , -0.3310735895   
 0.3091701149   , -0.338550908    
 0.3168992905   , -0.3474306361   
 0.3246284661   , -0.3570935727   
 0.3323576417   , -0.3671165586   
 0.3400868173   , -0.3772250292   
 0.3478159929   , -0.387233073    
 0.3555451685   , -0.3969592441   
 0.3632743441   , -0.4045135304   
 0.3714633099   , -0.3969577032   
 0.3796522757   , -0.3872331482   
 0.3878412415   , -0.3772259398   
 0.3960302073   , -0.3671156141   
 0.4042191731   , -0.3570935575   
 0.4124081389   , -0.3474296168   
 0.4205971047   , -0.338550383    
 0.4287860704   , -0.3310714313   
 0.4369750362   , -0.3256958736   
 0.445164002    , -0.3227963203   
 0.4533529678   , -0.322073526    
 0.4615419336   , -0.3228027743   
 0.4697308994   , -0.3242949778   
 0.4779198652   , -0.326074179    
 0.486108831    , -0.3278503875   
 0.4942977968   , -0.3294534751   
 0.5024867626   , -0.3307768245   
 0.5106757283   , -0.3317583436   
 0.5188646941   , -0.3323613998   
 0.5270536599   , -0.3325645727   
 0.5347828355   , -0.332361163    
 0.5425120111   , -0.3317584543   
 0.5502411867   , -0.3307764242   
 0.5579703624   , -0.3294517453   
 0.565699538    , -0.3278508917   
 0.5734287136   , -0.326073089    
 0.5811578892   , -0.3242934034   
 0.5888870648   , -0.3228037699   
 0.5966162404   , -0.3220763119   
 0.604345416    , -0.3227955473   
 0.6120745916   , -0.3256958778   
 0.6198037672   , -0.3310716438   
 0.6275329428   , -0.3385515819   
 0.6352621184   , -0.3474292734   
 0.642991294    , -0.3570923116   
 0.6507204696   , -0.3671185419   
 0.6584496452   , -0.3772273267   
 0.6661788208   , -0.3872344726   
 0.6739079965   , -0.3969590764   
 0.6816371721   , -0.4045122748   
 0.6898261378   , -0.3974122616   
 0.6980151036   , -0.3881587288   
 0.7062040694   , -0.3786383064   
 0.7143930352   , -0.369084191    
 0.722582001    , -0.3597746696   
 0.7307709668   , -0.3511775919   
 0.7389599326   , -0.3440611671   
 0.7471488984   , -0.3394545159   
 0.7553378642   , -0.3380461253   
 0.76352683     , -0.3394376001   
 0.7717157958   , -0.3425333017   
 0.7799047615   , -0.3463729596   
 0.7880937273   , -0.350356537    
 0.7962826931   , -0.3541404015   
 0.8044716589   , -0.3575302879   
 0.8126606247   , -0.360409361    
 0.8208495905   , -0.3627043123   
 0.8290385563   , -0.3643722341   
 0.8372275221   , -0.3653821607   
 0.8454164879   , -0.3657206049   
 0.8531456635   , -0.3654739516   
 0.8608748391   , -0.3647376891   
 0.8686040147   , -0.3635209021   
 0.8763331903   , -0.3618436935   
 0.8840623659   , -0.3597355791   
 0.8917915415   , -0.3572489955   
 0.8995207171   , -0.3544656631   
 0.9072498927   , -0.3515197088   
 0.9149790683   , -0.3486478246   
 0.9227082439   , -0.3462560915   
 0.9304374195   , -0.3450301467   
 0.9381665951   , -0.3459026582   
 0.9458957708   , -0.3495973923   
 0.9536249464   , -0.3559818478   
 0.961354122    , -0.3642243004   
 0.9690832976   , -0.3734997373   
 0.9768124732   , -0.3832444685   
 0.9845416488   , -0.3931169144   
 0.9922708244   , -0.4029167406   
 1              , -0.4003864533   

Line(Band 3)
